,station_id,station_na,lat,lon,neighborhood_id,FSA_code,da_id,cluster
192,7296,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,93,M6H,35201011.0,36
193,7110,Queen St E / Berkeley St,43.6552778,-79.36583333,73,M5A,35204228.0,14
194,7368,Lisgar St / Dundas St SMART,43.6493472,-79.42668,84,M6J,35201416.0,32
195,7347,Regal Rd / Dufferin St,43.673939,-79.441159,92,M6H,35201153.0,36
196,7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305556,84,M6K,35200935.0,32
197,7321,Front St W / University Ave (2),43.6452972,-79.3827914,76,M5H,35200855.0,24
198,7066,Willcocks St / St. George St,43.662085,-79.397735,79,M5S,35204157.0,6
199,7268,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,75,M5B,35204609.0,2
200,7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,77,M5V,35204819.0,29
201,7358,Gailbraith Rd / KingÕs College Cr. (U of T),43.660382,-79.3954,79,M5S,35204157.0,6
202,7247,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,86,M6R,35201357.0,21
203,7157,Dufferin St / Bloor St,43.66083333,-79.43583333,93,M6H,35201006.0,36
204,7032,Augusta Ave / Dundas St W,43.652473,-79.401456,78,M5T,35200889.0,6
205,7123,424 Wellington St W - SMART,43.643834,-79.396649,77,M5V,35204894.0,27
206,7237,Ward Ave / Wallace Ave,43.662251,-79.446036,93,M6H,35204888.0,20
207,7070,25 York St Ð Union Station South,43.643667,-79.380414,77,M5J,35204896.0,24
208,7291,190 Queens Quay E,43.6451308,-79.3653644,77,M5A,35200832.0,14
209,7225,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,85,M6S,35201466.0,19
210,7285,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,79,M5S,35204157.0,8
211,7193,Queen St W / Gladstone Ave,43.64305556,-79.4275,84,M6J,35201452.0,32
212,7209,Ossington Ave / Harrison St,43.65111111,-79.42138889,81,M6J,35204161.0,32
213,7052,Wellington St W / Bay St,43.647259,-79.379878,76,M5H,35200855.0,24
214,7238,Sorauren/Geoffrey (Sorauren Park) - SMART,43.649172,-79.4445087,86,M6R,35201407.0,21
215,7170,Spadina Ave / Willcocks St,43.6616667,-79.40138889,79,M5S,35204157.0,8
216,7151,Essex St / Christie St - SMART,43.6686111,-79.42027778,95,M6G,35200988.0,35
217,7180,Lansdowne Subway Station,43.6587734,-79.443054,93,M6H,35203846.0,21
218,7175,HTO Park (Queens Quay W),43.63796,-79.387502,77,M5J,35204827.0,29
219,7156,Salem Ave / Bloor St W,43.6608333,-79.43166667,93,M6H,35201010.0,36
220,7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,87,M6R,35201316.0,21
221,7064,51 Parliament St,43.65205,-79.362198,73,M5A,35203176.0,14
222,7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,85,M6K,35204220.0,25
